Main_theme,Subtheme,Subtheme_Description,Main_Theme_ID,Subtheme_ID
Budget and resources,Procurement,"Comments about improving how the state purchases goods and services, including bidding, vendor selection, and purchasing efficiency.",1,1
Budget and resources,Budgeting and funding,"Comments about how government funds are allocated, distributed, or prioritized.",1,2
Budget and resources,State-spending audits,"Comments about how government spending is reviewed, tracked, or audited for efficiency or waste.",1,3
Budget and resources,Contracts and vendors,"Comments about managing, evaluating, or selecting contracts with external vendors or partners.",1,4
Budget and resources,Shared resources,"Comments about sharing or pooling staff, digital tools, equipment, or funding across agencies or departments to reduce costs.",1,5
Budget and resources,Participatory budgeting,"Comments about involving employees, residents, or communities in deciding how funds are spent.",1,6
Budget and resources,Expense reimbursement,"Comments about how employees submit, process, and receive reimbursements for work-related expenses.",1,7
Budget and resources,"Permits, licensing, and fees","Comments about how permits, licenses, or related fee structures are managed, determined, eliminated or streamlined.",1,8
Budget and resources,Physical infrastructure,"Comments about the importance and costs to maintain and steward physical state-owned resources such as office buildings, roads, and parks.",1,9
Communication and knowledge sharing,Internal communication,Comments about communication within an agency or between teams.,2,10
Communication and knowledge sharing,Cross-agency collaboration,"Comments about coordination and communication between state or federal government agencies or departments, including breaking down siloes.",2,11
Communication and knowledge sharing,Knowledge management,"Comments about capturing, storing, and sharing institutional knowledge, best practices, and resources.",2,12
Communication and knowledge sharing,Statewide directory,Comments about improving or maintaining a centralized directory of state employees or agencies.,2,13
Communication and knowledge sharing,Internal feedback,"Comments about gathering, sharing, or acting on employee feedback within the organization.",2,14
Communication and knowledge sharing,Plain language,"Comments about using clear, accessible, and jargon-free language in state communications.",2,15
Communication and knowledge sharing,Translations,Comments about translation services or multilingual access for state materials or communications.,2,16
Governance and oversight,Policymaking,"Comments about how policies are developed, reviewed, or improved to be more effective or inclusive.",3,17
Governance and oversight,Accountability and transparency,"Comments about public or internal visibility into decisions, spending, or outcomes.",3,18
Governance and oversight,Compliance,"Comments about adherence to laws, regulations, or internal policies.",3,19
Governance and oversight,Org structure and hierarchy,"Comments about how leadership, staffing, or reporting structures could be adjusted for efficiency or fairness.",3,20
Governance and oversight,Align policy and implementation,Comments about gaps between policy statutes and how they are carried out in practice.,3,21
Management culture and leadership,Leadership review and oversight,Comments about evaluating or holding leaders accountable for performance or ethics.,4,22
Management culture and leadership,Manager training,Comments about training and support for current or new managers or preparing employees for leadership roles.,4,23
Management culture and leadership,Management culture and leadership approach,"Comments about leadership style, decision-making, or communication from management.",4,24
Organizational structure and culture,Work culture,"Comments about improving workplace environment, morale, or team dynamics.",5,25
Organizational structure and culture,Risk aversion,Comments about unnecessary caution or fear of innovation within government work.,5,26
Organizational structure and culture,Growth mindset,"Comments about continuous learning, experimentation, and improvement among employees.",5,27
Organizational structure and culture,Trust and openness,"Comments about respect, trust, and open dialogue across the workplace.",5,28
Organizational structure and culture,Inclusion and diversity,"Comments about an equitable, diverse, and inclusive workplace.",5,29
Organizational structure and culture,Networking,Comments about creating or strengthening professional connections among employees or across agencies.,5,30
Organizational structure and culture,Consolidate government agencies,Comments about merging or reorganizing agencies for efficiency or better coordination.,5,31
Process improvement,Process design and methodologies,"Comments about creating or improving processes, including using structured methods or best practices such as lean six sigma.",6,32
Process improvement,Process documentation,Comments about creating or refining documentation of workflow processes.,6,33
Process improvement,Bureaucracy,"Comments about unnecessary rules, paperwork, or administrative barriers.",6,34
Process improvement,Process delays,Comments about bottlenecks and other types of delays in workflows.,6,35
Process improvement,Digitize processes,Comments about improving manual or paper-based steps with digital tools or automation.,6,36
Process improvement,Policy development process,"Comments about making the creation and revision of policies faster, more transparent or more effective.",6,37
Public-facing services and resident experience,Public service delivery and responsiveness,"Comments about making government services faster, easier, or more responsive to residents, including help desks, call centers, and online resources.
",7,38
Public-facing services and resident experience,Public participation,Comments about resident engagement or input in government decisions.,7,39
