PARTICIPANT_ID,VOTE_OPTION,COMMENT_OPTION,VOTE,VOTE_NUMBER,COMMENT_ID,REPLY_TO_ID,COMMENT_CONTENT,REPLY_COUNT,FLAG_COUNT,LIKE_COUNT,POSTED_ON
2f3bb5a7-e058-4859-99dd-2c292f58da1c,EMERGENCY_COMMUNICATION_NETWORKS,EMERGENCY_COMMUNICATION_NETWORKS,Neutral,4,2226,,Not sure this is highest priority….these seem to be bigger fish to fry!,0,0,0,2025-07-21 21:43:39.000 Z
9e86ad34-94e6-47ec-9e50-a88956d89044,EMERGENCY_COMMUNICATION_NETWORKS,EMERGENCY_COMMUNICATION_NETWORKS,Neutral,4,3405,,"It sounds like a good idea, but don’t have enough information on what the impacts of this would be.",0,0,0,2025-07-30 20:05:00.000 Z
3663b829-12c9-4f1a-aa4b-393e66acaef9,EMERGENCY_COMMUNICATION_NETWORKS,EMERGENCY_COMMUNICATION_NETWORKS,Neutral,4,3247,,"Yes, I do think this is important as long it can be done efficiently without waste. However at the moment helping Altadena rebuild and stay in the area is my top priority.",0,0,0,2025-07-29 16:14:42.000 Z
c25a5dfb-3522-494e-9a1f-d5f0e17d6a8a,EMERGENCY_COMMUNICATION_NETWORKS,EMERGENCY_COMMUNICATION_NETWORKS,Neutral,4,2934,,We need to ensure all utilities are dual trenched and underground,0,0,0,2025-07-24 16:21:42.000 Z
fd716155-7e32-4537-a9b6-647021b3ebc5,EMERGENCY_COMMUNICATION_NETWORKS,EMERGENCY_COMMUNICATION_NETWORKS,Neutral,4,2177,,This should have been in place since 9-11. Fires have been a yearly occurrence for decades. To now place this cost onto the rebuilding public is unnecessary,0,0,0,2025-07-19 23:13:37.000 Z
24c1bc9d-de2c-4a04-bdaf-e7607074730f,ENHANCED_WATER_INFRASTRUCTURE,ENHANCED_WATER_INFRASTRUCTURE,Neutral,4,2100,,Maintain what we have and make sure it works.  That would be a great start.,0,0,0,2025-07-18 22:54:05.000 Z
c97b198e-cab5-4bf7-8d17-9ae4f0f2ef77,ENHANCED_WATER_INFRASTRUCTURE,ENHANCED_WATER_INFRASTRUCTURE,Neutral,4,2447,,"Let's begin with making sure to check the hydrants on a regular basis, which was not done, and ensuring there is water flowing to the ones in place. Address and acknowledge the lack of accountability and oversight that was neglected before proposing improvements.",0,0,0,2025-07-22 23:08:25.000 Z
1051ef6c-e065-480d-8468-392f14b28ec0,ENHANCED_WATER_INFRASTRUCTURE,ENHANCED_WATER_INFRASTRUCTURE,Neutral,4,3621,,Are there any rainwater collection solutions that could help these efforts (whether to source the fire hydrants and/or offer water solutions on properties)?,0,0,0,2025-08-14 14:54:24.000 Z
2f3bb5a7-e058-4859-99dd-2c292f58da1c,ENHANCED_WATER_INFRASTRUCTURE,ENHANCED_WATER_INFRASTRUCTURE,Neutral,4,2230,,Need to find a way for every fire truck to have portable pool pumps. Lots of full pools and burned down homes….,0,0,0,2025-07-21 21:43:39.000 Z
c0c6d567-43df-4aa4-a4e5-1c29e3edcb3b,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,3172,,I don't want to support rebuilding in an area that is prone to burning and shouldn't be inhabited in the first place.,0,0,0,2025-07-28 19:00:09.000 Z
fd1872e9-1610-4920-9b31-2871101e99ee,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,3479,,"A catalog of financial support programs already exists in various forms, and many of us have spent countless hours navigating them. Unless this directory offers truly new resources or significantly streamlines access, it risks being just another list. What survivors need most is actual funding, clear guidance, and advocates who can help cut through red tape, not more directories to sort through on our own.",0,0,1,2025-08-03 15:33:50.000 Z
1ef33376-1bfe-4297-a2cb-0119d954365c,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,3021,,"Please collaborate with others who are already working on this and not duplicate efforts, which ultimately causes confusion for survivors.",0,0,0,2025-07-25 16:15:48.000 Z
fe9e1175-54b8-4922-803d-6deb51092cf4,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,2888,,"Need financial assistance immediately, like grants,  not loans",0,0,0,2025-07-24 15:50:11.000 Z
ac567628-2a2b-434c-9b9f-91ea97788f2a,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,3144,,"As far as I know, for many aid programs, including SBA loans, the problem isn't people not knowing about them. It's actually having the programs executed and the grants or loans funded. Also immediately after the fire there were too many things for people to apply for, and each one promising only a small amount, at a moment when people had no time or energy to fill in so many different applications. More important that aid is administered through a small number of programs that can deliver meaningful help without too much required on the part of the disaster victims. Or to centralize the application process so victims could register in one place (FEMA?) and be considered for everything they are eligible for based on that one application.",0,0,1,2025-07-27 22:18:50.000 Z
0de6c02d-6aae-4611-9f25-03f667e82379,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,2682,,Isn't this VOAD?,0,0,0,2025-07-23 20:20:13.000 Z
24c1bc9d-de2c-4a04-bdaf-e7607074730f,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,2107,,This is the beauty of the internet and AI.  Prefer not to have government do this.,0,0,0,2025-07-18 23:08:11.000 Z
3f6b48a7-2755-4957-a23d-9856fb472928,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,2600,,I'm also very weary of anything actually happening - a catalog of programs really means nothing - it's more work for everyone to chase down a possible check that likely won't cover one mortgage payment.  Either get in with 2 feet and support the residents or get out of the way.,0,0,0,2025-07-23 18:15:39.000 Z
67a65979-9772-4d46-9885-795c196c4c26,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,2525,,"First get the incentives correct.  Carbon economics applies everywhere.  LA is the natural financial center of the carbon economy.  You can also share with the rest of us new ways of making  the shift that work for the people most exposed to the downside of the transition to the carbon economy. 

We're California.  We made this beautiful mess, and we're addressing the polycrisis together.

Go Bears!",0,0,0,2025-07-23 16:05:42.000 Z
decbb990-92eb-47bf-b6ab-a3b0112486ce,FIND_FINANCIAL_SUPPORT,FIND_FINANCIAL_SUPPORT,Neutral,4,2062,,Helping people choose slightly beter choices is better than nothing but weak. Invent the better options.,0,0,0,2025-07-18 00:34:05.000 Z
6bf7a2a6-ae07-4eeb-bdcc-3403bb08a632,PERMITTING_SUPPORT_TEAMS,PERMITTING_SUPPORT_TEAMS,Neutral,4,2343,,Not sure more staff would help.  Best to ask existing staff what the problems and ask people trying to build.,0,0,1,2025-07-22 16:17:25.000 Z
c0c6d567-43df-4aa4-a4e5-1c29e3edcb3b,PERMITTING_SUPPORT_TEAMS,PERMITTING_SUPPORT_TEAMS,Neutral,4,3174,,We should not fast-track or support irresponsible rebuilding.,0,0,0,2025-07-28 19:00:09.000 Z
fd716155-7e32-4537-a9b6-647021b3ebc5,PERMITTING_SUPPORT_TEAMS,PERMITTING_SUPPORT_TEAMS,Neutral,4,2184,,"any streamlining should be productive, well staffed, and efficient. More nonsense is not needed.",0,0,0,2025-07-19 23:13:36.000 Z
9e86ad34-94e6-47ec-9e50-a88956d89044,PERMITTING_SUPPORT_TEAMS,PERMITTING_SUPPORT_TEAMS,Neutral,4,3393,,The permitting decision process takes much longer than what this priority suggests. This already exists to some degree and has not been found useful to most of my neighbors,0,0,0,2025-07-30 20:04:02.000 Z
57522543-be68-429f-8be7-f3eb159c9fe3,PERMITTING_SUPPORT_TEAMS,PERMITTING_SUPPORT_TEAMS,Neutral,4,3154,,"Don't we already have this. Isn't that what the ""one stop permitting"" center is? Maybe I'm not understanding the proposal...",0,0,0,2025-07-27 22:20:47.000 Z
82659a7f-2bca-47b3-9c9a-a8ce29b98109,PERMITTING_SUPPORT_TEAMS,PERMITTING_SUPPORT_TEAMS,Neutral,4,2844,,This could be great or useless depending on how it is done.,0,0,0,2025-07-24 15:30:34.000 Z
decbb990-92eb-47bf-b6ab-a3b0112486ce,PERMITTING_SUPPORT_TEAMS,PERMITTING_SUPPORT_TEAMS,Neutral,4,2061,,"Without better house design this is pointless.
So get better at house design. Not simple,
but technically and economically doable.",0,0,0,2025-07-18 00:34:09.000 Z
049cae92-c502-4c10-b788-23137fda2859,PERMITTING_SUPPORT_TEAMS,PERMITTING_SUPPORT_TEAMS,Neutral,4,2642,,"Due diligence requires many agencies to review plans.  One or more centralized agency may or may not be the answer, especially with current electronic technology.   Recommend serious efficiency study to streamline the process instead of current PROPOSED SB as the solution.",0,0,0,2025-07-28 22:27:55.000 Z
decbb990-92eb-47bf-b6ab-a3b0112486ce,UNDERGROUND_POWER_SAFETY,UNDERGROUND_POWER_SAFETY,Neutral,4,2054,,"Don't have power lines. Use solar panels and wind turbines locally on each building. Make buildings to passive house specs. Deny building permits for any new buildings that aren't passive designs. With passive decreasing building energy requirements to about 10 to 20% of conventional buildings, fewer solar panels and batteries will be needed. If the available tech isn't economically viable, create it. I will help and LA has enough use cases to make it overall cost saving. Managing water within a building will also help decrease overall energy consumption.",0,0,0,2025-07-17 23:57:32.000 Z
e705fe6e-87ef-4be9-8049-6aeb9eed5131,UNDERGROUND_POWER_SAFETY,UNDERGROUND_POWER_SAFETY,Neutral,4,3292,,"Underground installation is expensive, and even more expensive if repairs are needed",0,0,0,2025-07-29 16:17:16.000 Z
b9067b80-5f5a-48e7-b8d1-77c1179b63ae,UNDERGROUND_POWER_SAFETY,UNDERGROUND_POWER_SAFETY,Neutral,4,2994,,"I think it depends on the ares. For example, my area is mostly weak adobe and is prone to movement. Undergroynding utilities works better on more stable land.",0,0,0,2025-07-24 20:59:56.000 Z
6448d4b8-e814-469c-95e2-781a911c7e97,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
b3c120b2-fb71-45df-80eb-57b3c3e93200,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
b75506ef-79d1-4173-9c0e-c990e369f5df,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
f1c067bd-8a8b-44ea-ba32-d48b6f2cf774,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
a83a752f-137c-4e20-8551-62b05916eb4b,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
506afcd1-12e7-4e95-8767-1b96a2cd15b9,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
5ab413be-ed2e-4a69-9061-c11a9218f625,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
17d19588-4e8d-439b-a344-f73a4c32ec97,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
329df714-b9d7-4488-b30b-f0df9dd11fb3,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
ddf6fae1-d6e8-47cd-a65b-309e914be6d8,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
44d89dc2-642c-4ca3-9221-f7f0d148eaa6,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
1ddf958e-83f6-47bb-9160-ca80346f755a,PERMITTING_SUPPORT_TEAMS,,Neutral,4,,,,,,,
