COMMENT_ID,CATEGORY,SUBCATEGORY,CONTENT,UMAP_1,UMAP_2,
461,Emergency communication,Emergency alert apps,We clearly can not depend on bigger entities like the county. This needs to be a local initiative. How can the city of Pasadena ensure each other's safety? Creat neighborhood hubs and database so neighbors can look out for neighbors. We were left alone on January 7th/8th. All we have is each other.,14.51560116,7.49673605,
619,Emergency communication,Emergency alert apps,"I found even before the fires in LA Watch Duty to be invaluable, but I found most people didn't even know about it. I would like to see a statewide collaboration perhaps.",14.41188622,8.026699066,
659,Emergency communication,Emergency alert apps,"The general public has no idea how emergency communications work, much less how ECC's & EM's are staffed, much less how easily overwhelmed 9-1-1 centers (with understaffed centers) are with floods of calls during events like this; and I could go on.  Clearly, there were failures in both the LA City and LA County responses in notifying the public.  Many fell back onto the Watch Duty app, which is privately funded and operated.  It proved itself to be a MORE reliable method of getting notification than from our paid city/county employees. LA should enter into a public/private partnership with Watch Duty, making it the single app to rely on.  For connecting with residents for resources, have your websites pre-made, ready to go prior launching.",13.85956097,8.346092224,
750,Emergency communication,Emergency alert apps,"During the fires, we luckily were all able to turn to Watch Duty. Now, we still need a place to go to for easy communication and resources.",14.59267616,8.023920059,
776,Emergency communication,Emergency alert apps,"We need to invest into a STRONG community based app that ensures all government updates are being sent out. Similar to amber alerts, an app with news, similar to apps like Straight Arrow News, and community Instagram pages like The Source LA, but in a government ran app with main focuses on transparency and strategic plan sharing. Including spaces for communities to connect with resources, and local spaces. Something efficient and easy to navigate unlike current resources.",14.80810833,7.85415554,
810,Emergency communication,Emergency alert apps,"In Sacramento CA, a suburb that I grew up uses a facebook-like app called ""Nextdoor"" where people can get in contact with one another regarding community news. Maybe establish something similar for Los Angeles.",14.23408127,7.504812717,
1026,Emergency communication,Emergency alert apps,"Nextdoor exists here too, but I won't join it because they demand that you grant them the right to use your name and photo in advertisements.",13.94395065,7.802102089,
1040,Emergency communication,Emergency alert apps,"Partner with WatchDuty and maybe fund them, they're a good non-profit that can provide essential support to the state.",14.28461361,8.429786682,
1081,Emergency communication,Emergency alert apps,"I agree with the comment about WatchDuty; a similar application would be useful. Additionally, CA's warning alerts were mired with mistakes.",13.8623457,8.328330994,
1094,Emergency communication,Emergency alert apps,Watch Duty should be publicly funded,14.10140324,8.532253265,
1176,Emergency communication,Emergency alert apps,Watch Duty ate the Gensys system for lunch.,14.08134174,8.161017418,
1346,Emergency communication,Emergency alert apps,"We live in California, home of the tech bros. Why can we have a functioning app that anyone and everyone can tap into for resources?",14.03989124,8.008730888,
1390,Emergency communication,Emergency alert apps,"California is the state where many of the most influential tech startups and businesses exist. Yet, watch duty gives more reliable updates than any other communication app than a county/state/city one! California needs to step up and get on the level of what true communication is. We need to make sure ALL cities are informed. And that the CORRECT citizen is informed. Not scaring citizens from the wrong side of the bay that they are supposed to be evacuating at 3 AM.",13.67707157,8.03037262,
1425,Emergency communication,Emergency alert apps,I'm getting information from my neighbors. Love having a block captain.,14.34936714,7.694307804,
361,Emergency communication,Emergency alert systems,"This was done so poorly. The false alerts. An audit and then an update of this system must be done ASAP, before the big one or any other emergency.",17.157444,9.063019753,
423,Emergency communication,Emergency alert systems,Practice makes perfect.  There needs to be drills for each neighborhood so people know what to do.,16.65573692,9.095509529,
498,Emergency communication,Emergency alert systems,Reactivate the derelict air raid siren system for emergency alerts that can be heard for miles.,16.7741127,9.807889938,
833,Emergency communication,Emergency alert systems,Cell phone alerts do not work in the middle of the night.  We need loud sirens as used for tornado warnings. Sirens can be installed in cell towers.,16.59773827,9.820353508,
879,Emergency communication,Emergency alert systems,"Emergency sirens must be built. Too many people lost their lives because they did not hear or receive an emergency notification on their phones. Also - limiting your warning system to a smartphone notification is classist. What if people don't have a smartphone, how will they be notified? Create physical emergency siren alarm systems around the county. It's the only way.",16.92853546,9.849370956,
909,Emergency communication,Emergency alert systems,"There needs to be a higher bar for what is an emergency.  Now that I have my phone and email receiving emergency alerts, I get panic inducing messages about ordinary rain events which don't threaten my neighborhood.  If we increase our emergency communications (especially with something painful like warning sirens) then we have to be more selective about what an emergency is.",17.21850967,9.473187447,
931,Emergency communication,Emergency alert systems,"Communications must be accurate, timely and relevant to the receiver or they just become background noise like car alarms.",16.92705536,9.476396561,
1157,Emergency communication,Emergency alert systems,We had to rely on our neighbors and free apps like Fire Watch to know what was going on. We were truly failed during the fire and that cannot happen again!,16.61968422,8.586175919,
1324,Emergency communication,Emergency alert systems,"The multiple false alerts during the fires caused a lot of confusion and momentary panic, which could've been avoided. Perhaps a centralized system that's vetted by a supervisor would prevent these mistakes in the future.",17.26554871,8.879173279,
1336,Emergency communication,Emergency alert systems,All systems should bre tested regularly,16.93158531,9.306983948,
1363,Emergency communication,Emergency alert systems,"*The first thing I would advise is to ensure that the CPUC requires AT&T to maintain its ""carrier of last resort"" status, which generally also requires them to maintain landlines. We have pitiful cell service in the Canyons-and 5G can't/won't fix that, as its intense network infrastructure is generally incompatible with rural-mountain topography and economics.",16.42297363,9.132972717,
1366,Emergency communication,Emergency alert systems,A more reliable alert system would be great. Make it accessible for everyone,17.33374786,9.234300613,
1378,Emergency communication,Emergency alert systems,"Needless to say, there were substantial failures of communication during the fires.  Emergency alerts were not evenly distributed.  Emergency communication needs to account for the many different ways people receive news and emergency notifications.  Not everyone owns a mobile phone, and even those who do don't always use that technology in a way that is reliable in an emergency.  Organizing neighborhood watch groups and manual ways of notifying and communicating with vulnerable citizens is essential.  Also, making sure the system works, with regular testing for effectiveness and accuracy, is essential.  We got a number of false alarms (at least three) that woke us up early in the morning or in the middle of the night.",17.00086784,9.166016579,
1638,Emergency communication,Emergency alert systems,5g. Nixel alerts. We use walkie talkies in our neighborhood for emergencies. Drill the neighbors on evacuation plans.,16.47965241,9.058904648,
263,Emergency communication,Post-emergency communications,"Power companies should be required, to keep us informed, truly informed about the state of, equipment they are responsible for.
Consumers are hardly informed, regarding critical information, about the state of the infrastructure we rely on.",19.98701096,7.050717831,infrastructure accountability
266,Emergency communication,Post-emergency communications,Energy and oil companies need to pay reparations for the damage they have caused to the environment and to our communities.,20.36985588,7.354370117,funding reparations
284,Emergency communication,Post-emergency communications,I'm not sure energy companies can do much for the Santa Ana winds that blew through the canyons and carries embers for miles.,20.37299728,7.063491344,other
291,Emergency communication,Post-emergency communications,"The fact that people do not see and point out the connection between climate change and the companies that have brought that on and these fires is a big problem. Santa Ana wind existed 40 years ago when I was a kid in Altadena, but never had there been year over year fire seasons as there are now. It is vital to be clear on who is responsible in order to get to a solution that will actually work in the long term. No fire sprinkler would have saved our house from the size of the flames that took our property.",19.9954567,7.457652569,infrastructure accountability
344,Emergency communication,Post-emergency communications,"They can pay a bigger portion of their profits to fund the rebuilding of homes and maintenance of high-risk areas. Also Southern California Edison has two lawsuits filed against them ""alleging faulty power lines may have sparked the Eaton Fire"" -NPR",20.19891739,7.456463337,infrastructure accountability
358,Emergency communication,Post-emergency communications,Emergency messaging needs to come from ONE place not various sources. Also ONE press conference for weather warnings.,17.34940147,6.108185768,emergency communications
389,Emergency communication,Post-emergency communications,"Yes, a single centralized website that consolidates all resources, where local cities, counties, and state officials can contribute helpful information and ensure it remains current and accessible.",18.29160309,4.918951988,emergency communications
426,Emergency communication,Post-emergency communications,💯 agree with this reply!,19.99879837,6.455387592,
444,Emergency communication,Post-emergency communications,"First, this is not very necessary now. Second, I do not have faith it would be executed properly, and would again end up just wasting resources. Focus on cutting red tape, and getting out of the way so the residents can rebuild their lives.",19.38284493,5.120805264,emergency communications
525,Emergency communication,Post-emergency communications,communication is always important,19.45491982,6.759769917,emergency communications
533,Emergency communication,Post-emergency communications,"I agree and for those of us who have not lost our home in this disaster, it provides a good opportunity to be grateful for what we do have, even if one is facing overwhelming challenges and painful situations.",19.06623268,6.952827454,
538,Emergency communication,Post-emergency communications,Fold this one in with Emergency planning & community safety,19.95806694,5.712111473,
553,Emergency communication,Post-emergency communications,Refer folks to 211 LA for information update and resources,18.34937859,6.101000786,
566,Emergency communication,Post-emergency communications,I need help with resources. I was just informed that I have to move because my Landlord is not trying to professionally clean my place even though it is against the law.,18.69024086,5.675055981,
574,Emergency communication,Post-emergency communications,"One area where resources should be consolidated is the tax incentives, grants and rebates available from federal, State & local government entities for sustainability measures in rebuilding.  

This is an important part of a multi-layered cost reduction strategy that will make sustainable rebuilding accessible to all property owners.",18.22767448,5.216833115,
595,Emergency communication,Post-emergency communications,"The people of Los Angeles need to understand how they can help. It's not always possible to write a check. There should be other ways for people to participate in the recovery when they were not directly affected by the fires, but want to help.",18.82762337,5.348954678,
606,Emergency communication,Post-emergency communications,"The DRCs are a great resource, but people are overwhelmed and some have trouble getting to them. We need some form of community outreach that potentially goes to people as opposed to requiring them to come to the DRC.",17.41549301,5.225146294,
